#item+conceptum+codicem,#item+rem+i_en+i_eng+is_latn,#item+rem+i_ru+i_rus+is_cyrl
CMU_1:1,about how long have these symptoms been going on?,"о том, как долго присутствуют эти симптомы?"
PubMed_8:595,"On the contrary, HCoVs can also adapt to the intermediate host and even establish long-term endemicity.","Напротив, вирусы HCoV могут также адаптироваться к промежуточному носителю и даже устанавливать длительную эндемичность."
PubMed_8:596,"In this case, the intermediate host becomes a natural reservoir host.",В этом случае промежуточный носитель становится естественным резервуарным носителем.
PubMed_8:597,Epidemiological data revealed retrospectively that the index case of SARS had a contact history with game animals.,"Эпидемиологические данные ретроспективно показали, что нулевой пациент SARS имел в анамнезе контакт с охотничье-промысловыми животными (дичью)."
PubMed_8:598,Subsequent seroprevalence investigations indicated that animal traders had a higher prevalence of anti-SARS-CoV IgG compared with that of the general population.,"Дальнейшие исследования серопревалентности показали, что у торговцев животными распространенность антител IgG к вирусу SARS-CoV выше по сравнению с населению в целом."
PubMed_8:599,Masked palm civets (Paguma larvata) and a racoon dog in live animal markets were first identified to carry SARS-CoV-like viruses that are almost identical to SARS-CoV.,"Гималайские циветы (Paguma larvata) и енотовидная собака на рынках живых животных стали первыми установленными носителями вирусов, подобных и почти идентичных SARS-CoV."
PubMed_8:600,This was indirectly supported by the fact that no further SARS was reported after killing all civets in the markets.,"Это было косвенно подтверждено тем фактом, что после уничтожения всех цивет на рынках о случаях SARS больше не сообщалось."
PubMed_8:601,"However, it has been reported that masked palm civets from the wild or farms without exposure to the live animal markets were largely negative for SARS-CoV, suggesting that masked palm civets might only serve as the intermediate amplifying host but not the natural reservoir of SARS-CoV.","В то же время сообщалось, что у гималайских цивет, живущих в природе или на фермах и не попадавших на рынки, в большинстве случаев SARS-CoV не определялся, что позволяет сделать вывод, что гималайские циветы могли служить только в качестве промежуточного усиливающего носителя, а не естественного резервуара SARS-CoV."
PubMed_8:602,"Notably, since 80% of the different animals in the markets in Guangzhou have anti-SARS-CoV antibodies, the possibilities that multiple species of small mammals might also serve as intermediate amplifying hosts of SARS-CoV cannot be excluded.","Примечательно, что поскольку 80% различных животных на рынках Гуанчжоу имеют антитела к SARS-CoV, нельзя исключать вероятности того, что промежуточными усиливающими носителями также могут служить многочисленные виды мелких млекопитающих."
PubMed_8:603,All of these appear to be dead-end hosts of SARS-CoV.,Все они кажутся тупиковыми носителями вируса SARS-CoV.
PubMed_8:604,"Subsequent search for the natural animal host of SARS-CoV unveiled a closely related bat CoV, termed SARS-related Rhinolophus bat CoV HKU3 (SARSr-Rh-BatCoV HKU3), which exists in Chinese horseshoe bats.","Последующий поиск естественного животного-носителя SARS-CoV выявил близкородственный CoV летучих мышей, который назвали связанным с атипичной пневмонией коронавирусом подковоносых летучих мышей HKU3 (SARSr-Rh-BatCoV HKU3) и который присутствует у китайских подковоносых летучих мышей."
PubMed_8:605,These bats are positive for anti-SARS-CoV antibodies and genome sequence of SARSr-Rh-BatCoV HKU3.,Эти мыши позитивны на антитела к SARS-CoV и геномную последовательность SARSr-Rh-BatCoV HKU3.
PubMed_8:606,This and other bat CoVs share 88-92% nucleotide sequence homology with SARS-CoV.,"Эти и другие коронавирусы летучих мышей имеют на 88–92% ту же гомологию последовательностей нуклеотидов, что и SARS-CoV."
PubMed_8:607,These studies have laid the foundation for the new concept that bats host emerging human pathogens.,"Эти исследования заложили основы новой концепции, что летучие мыши стали носителями новых человеческих патогенов."
PubMed_8:608,"Several SARS-like CoVs (SL-CoVs) have also been identified from bats, but none except for one designated WIV1 can be isolated as live virus.","У летучих мышей также было выявлено несколько SARS-подобных коронавирусов (SL-CoV), но ни один из них, кроме одного, который обозначают WIV1, нельзя изолировать как живой вирус."
PubMed_8:609,Human angiotensin converting enzyme 2 (ACE2) is known to be the receptor of SARS-CoV.,"Известно, что рецептором SARS-CoV является человеческий ангиотензин-конвертирующий фермент 2 (ACE2)."
PubMed_8:610,"WIV1 derived from fecal sample of bats was demonstrated to use bat, civet and human ACE2 as receptor for cell entry.","Было показано, что WIV1, полученный из пробы фекалий летучих мышей, использует ACE2 летучих мышей, цивет и человека как рецептор для входа в клетку."
PubMed_8:611,"Intriguingly, sera of convalescent SARS patients were capable of neutralizing WIV1.","Любопытно, что сыворотки выздоравливающих пациентов с SARS могли нейтрализовать WIV1."
PubMed_8:612,"Thus far, WIV1 represents the most closely related ancestor of SARS-CoV in bats, sharing 95% nucleotide sequence homology.","На сегодняшний день WIV1 представляет самого близкого родственного предка SARS-CoV у летучих мышей, разделяя 95% гомологии нуклеотидных последовательностей."
PubMed_8:613,"Albeit the high homology between these two viruses, it is generally believed that WIV1 is not the immediate parental virus of SARS-CoV and bats are not the immediate reservoir host of SARS-CoV.","Несмотря на высокую гомологию между этими двумя вирусами, в целом считается, что WIV1 не является непосредственным родительским вирусом SARS-CoV, а летучие мыши не являются непосредственным резервуарным носителем SARS-CoV."
PubMed_8:614,Phylogenetic analysis clusters MERS-CoV to the same group as bat CoV-HKU4 and bat CoV-HKU5.,"Филогенетический анализ относит MERS-CoV к той же группе, что и CoV-HKU4 летучих мышей, и CoV-HKU5 летучих мышей."
PubMed_8:615,"Bat CoV-HKU4 and MERS-CoV utilize the same host receptor, dipeptidyl peptidase 4 (DPP4), for virus entry.","CoV-HKU4 летучих мышей и MERS-CoV используют один и тот же рецептор носителя, дипептилдипептидазу-4 (DPP4), для проникновения вирусов."
PubMed_8:616,RNA-dependent RNA polymerase sequences of MERS-CoV are phylogenetically closer to counterparts in bat beta-CoVs identified from Europe and Africa.,"Последовательности РНК-зависимой РНК-полимеразы вируса MERS-CoV филогенетически ближе к последовательностям из бетакоронавирусов летучих мышей, выявленных в Европе и Африке."
PubMed_8:617,"Up to now, no live MERS-CoV can be found in wild bats.",До сих пор у диких летучих мышей не находили живого вируса MERS-CoV.
PubMed_8:618,MERS-CoV and its closest relative bat CoV-HKU25 share only 87% nucleotide sequence homology.,Гомологий нуклеотидных последовательностей MERS-CoV и его ближайшего родственника CoV-HKU25 летучих мышей совпадает лишь на 87%.
PubMed_8:619,"Thus, bats might not be the immediate reservoir host of MERS-CoV.",То есть летучие мыши могли не быть непосредственным резервуарным носителем вируса MERS-CoV.
PubMed_8:620,"On the other hand, studies in Middle East have shown that dromedary camels are seropositive for MERS-CoV-specific neutralizing antibodies, same as camels of Middle East origin in multiple African countries.","С другой стороны, исследования на Ближнем Востоке показали, что одногорбые верблюды серопозитивны к нейтрализующим антителам, специфическим для MERS-CoV, также как и верблюды ближневосточного происхождения во многих африканских странах."
PubMed_8:621,"Live MERS-CoV identical to the virus found in humans was isolated from the nasal swabs of dromedary camels, further indicating that camels serve as the bona fide reservoir host of MERS-CoV.","Живой MERS-CoV, идентичный вирусу, обнаруженному у людей, был выделен из назальных мазков одногорбых верблюдов, что еще более подтверждает роль верблюдов как истинных резервуарных носителей MERS-CoV."
PubMed_8:622,It is also noteworthy that generally mild symptoms but massive virus shedding were observed in camels experimentally infected with MERS-CoV.,"Стоит также отметить, что у верблюдов, экспериментально зараженных MERS-CoV, наблюдались незначительные симптомы, но массивное вирусовыделение."
PubMed_8:623,"Notably, infected camels shed viruses not only through respiratory route but also through fecal-oral route, which is also the main route for virus shedding from bats.","Примечательно, что инфицированные верблюды выделяли вирус не только респираторным путем, но и фекально-оральным путем, который также является основным путем выделения вируса у летучих мышей."
PubMed_8:624,"However, questions still remain since many confirmed cases of MERS have no contact history with camels prior to symptom onset, plausibly ascribed to human-to-human transmission or unknown transmission routes involving unrecognized animal species that harbour MERS-CoV.","Однако все еще остаются вопросы, поскольку много подтвержденных случаев ближневосточного респираторного синдрома не имели в анамнезе контактов с верблюдами перед возникновением симптомов и правдоподобно относятся на счет передачи от человека человеку или передачи неизвестными каналами, включающими неустановленные виды животных, которые являются носителями MERS-CoV."
PubMed_8:625,SARS-CoV-2 shares 96.2% nucleotide homology with a bat CoV RaTG13 isolated from Rhinolophus affinis bats.,"Гомология нуклеотидов SARS-CoV-2 на 96,2% совпадает с CoV RaTG13 летучих мышей, выделенным у азиатских подковоносов Rhinolophus affinis."
PubMed_8:626,"As in the cases of SARS-CoV and MERS-CoV, the sequence divergence between SARS-CoV-2 and RaTG13 is too great to assign parental relationship.","Как и в случаях SARS-CoV и MERS-CoV, дивергенция последовательностей между SARS-CoV-2 и RaTG13 слишком велика, чтобы приписывать им родительские отношения."
PubMed_8:627,"That is to say, bats might not be the immediate reservoir host(s) of SARS-CoV-2 unless almost identical bat CoVs are found in future.","То есть летучие мыши могли и не быть непосредственным резервуарным носителем SARS-CoV-2, если только в будущем не будут найдены почти идентичные коронавирусы летучих мышей."
PubMed_8:628,"Presumably, the intermediate animal hosts of SARS-CoV-2 should be among the wildlife species sold and killed at the Huanan Seafood Wholesale Market, with which many of the initial cases of COVID-19 were associated, indicative of a probable animal-to-human transmission event.","Предположительно, непосредственные животные-носители вируса SARS-CoV-2 должны находиться среди диких видов, которых продают и умерщвляют на уханьском оптовом рынке морепродуктов, с которым было связано много начальных случаев COVID-19, что свидетельствует о вероятном случае передачи от животного человеку."
PubMed_8:629,Several recent studies based on metagenomic sequencing have suggested that a group of endangered small mammals known as pangolins (Manis javanica) could also harbour ancestral beta-CoVs related to SARS-CoV-2.,"Несколько недавних исследований на основе метагеномного секвенирования пришли к выводу, что группа находящихся под угрозой уничтожения мелких млекопитающих, известных как панголины (Manis javanica), также могла переносить родительский бетакоронавирус, родственный штамму SARS-CoV-2."
PubMed_8:630,These novel pangolin CoV genomes share 85-92% nucleotide sequence homology with SARS-CoV-2.,Гомология последовательностей нуклеотидов этих новых геномов коронавируса панголинов на 85–92% совпадает с SARS-CoV-2.
PubMed_8:631,"However, they are equally closely related to RaTG13 with about 90% identity at the level of nucleotide sequence.","Но они также близко связаны с RaTG13, причем идентичность на уровне нуклеотидных последовательностей составляет около 90%."
PubMed_8:632,"They cluster into two sub-lineages of SARS-CoV-2-like viruses in the phylogenetic tree, one of which share a more similar receptor binding domain (RBD) with SARS-CoV-2, with 97.4% amino acid sequence identity.","Они кластеризуются в две подлинии дифференциации вирусов, подобных SARS-CoV-2, в филогенетическом дереве, у одной из которых рецептор-связывающий домен (РСД) более близок к SARS-CoV-2 с идентичностью последовательностей аминокислот на уровне 97,4%."
PubMed_8:633,"In stark contrast, the RBDs of SARS-CoV-2 and RaTG13 are more divergent, albeit a higher degree of sequence homology genome-wide.","Совсем наоборот, РСД штаммов SARS-CoV-2 и RaTG13 более дивергентны, несмотря на более высокую степень гомологии последовательностей во всем геноме."
PubMed_8:634,"An earlier study on diseased pangolins also reported the detection of viral contigs from lung samples, which turn out to be similarly related to SARS-CoV-2.","В более раннем исследовании больных панголинов также сообщалось об определении вирусных контигов в пробах из легких, которые оказались подобным образом родственны с SARS-CoV-2."
PubMed_8:635,This study adopted different assembly methods and manual curation to generate a partial genome sequence comprising about 86.3% of the full-length viral genome.,"В этом исследовании применялись другие методы сборки и ручной обработки для получения последовательности генома, включающей в себя около 86,3% полноразмерного вирусного генома."
PubMed_8:636,We cannot exclude the possibility that pangolin is one of the intermediate animal hosts of SARS-CoV-2.,"Нельзя исключать возможности, что панголин стал одним из промежуточных животных-носителей SARS-CoV-2."
PubMed_8:637,"However, currently there is no evidence in support of a direct pangolin origin of SARS-CoV-2 due to the sequence divergence between SARS-CoV-2 and pangolin SARS-CoV-2-related beta-CoVs.","Однако, вследствие дивергенции последовательностей между SARS-CoV-2 и бетакоронавирусами панголинов, родственными SARS-CoV-2, в настоящее время нет доказательств в поддержку прямого происхождения SARS-CoV-2 от панголина."
PubMed_8:638,"In addition, the distance between SARS-CoV-2 and RaTG13 is even shorter than that between SARS-CoV-2 and pangolin SARS-CoV-2-related beta-CoVs.","Кроме того, дистанция между SARS-CoV-2 и RaTG13 еще короче, чем между SARS-CoV-2 и бетакоронавирусами панголинов, связанными с SARS-CoV-2."
PubMed_8:639,"The evolutionary pathway of SARS-CoV-2 in bats, pangolins and other mammals remains to be established.","Эволюционный путь SARS-CoV-2 у летучих мышей, панголинов и других млекопитающих еще не установлен."
PubMed_8:640,"Whereas the highest sequence homology has been found in the RBDs between SARS-CoV-2 and pangolin, SARS-CoV-2-related beta-CoVs, SARS-CoV-2 and RaTG13 share the highest genome-wide sequence homology.","Тогда как самая высокая гомология последовательностей была найдена в РСД между SARS-CoV-2 и бетакоронавирусами панголинов, родственными SARS-CoV-2, у SARS-CoV-2 и RaTG13 самая высокая гомология последовательностей в рамках всего генома."
PubMed_8:641,It is highly speculative that the high degree of similarity between the RBDs of pangolin SARS-CoV-2-related beta-CoVs and SARS-CoV-2 is driven by selectivity-mediated convergent evolution.,"Очень теоретически, высокая степень подобия между бетакоронавирусами панголинов, родственными SARS-CoV-2, и SARS-CoV-2 связана с параллельной эволюцией посредством селективности."
PubMed_8:642,A counter-proposal is in favour of a recombination between a pangolin SARS-CoV-2-related beta-CoV and RaTG13 in the third wild animal species.,"Противоположное предложение выступает за рекомбинацию между бетакоронавирусом панголинов, родственным SARS-CoV-2, и RaTG13 в третьем виде диких животных."
PubMed_8:643,"As a driving force in evolution, recombination is widespread among beta-CoVs.","Как движущая сила эволюции, рекомбинация широко распространена среди бетакоронавирусов."
PubMed_8:644,The jury is still out on the immediate zoonotic origin of SARS-CoV-2.,Окончательного решения о непосредственном зоонозном происхождении SARS-CoV-2 все еще нет.
PubMed_8:645,"Besides the highly pathogenic HCoVs, the zoonotic origin of HCoV-229E, HCoV-OC43, HCoV-NL63 and HCoV-HKU1 have also been studied.","Кроме высокопатогенных вирусов HCoV, изучается также зоонозное происхождение вирусов HCoV-229E, HCoV-OC43, HCoV-NL63 и HCoV-HKU1."
PubMed_8:646,"Phylogenetic evidence indicated that both HCoV-NL63 and HCoV-229E might have originated from bat CoVs, while the parental viruses of HCoV-OC43 and HCoV-HKU1 have been found in rodents.","Филогенетические доказательства показывают, что и HCoV-NL63, и HCoV-229E могут происходить от коронавирусов летучих мышей, в то время как родительские вирусы штаммов HCoV-OC43 и HCoV-HKU1 обнаружены у грызунов."
PubMed_8:647,It has been reported that a bat CoV termed ARCoV.2 (Appalachian Ridge CoV) detected in North American tricolored bat displayed close relationship with HCoV-NL63.,"Сообщалось, что коронавирус летучих мышей, названный ARCoV.2 (Appalachian Ridge CoV) и выявленный у североамериканского трехцветного присосконога, демонстрирует близкое родство с HCoV-NL63."
PubMed_8:648,"On the other hand, HCoV-229E was genetically related to another bat CoV, termed Hipposideros/GhanaKwam/19/2008, which was detected in Ghana, while camelids have also been suspected as its intermediate host.","С другой стороны, HCoV-229E генетически связан с другим коронавирусом летучих мышей под названием Hipposideros/GhanaKwam/19/2008, который был обнаружен в Гане, хотя существовало подозрение, что его промежуточным носителем могли быть и верблюдовые."
PubMed_8:649,"For clarity, the current knowledge on animal origins of known HCoVs is summarized in Figure ​1 and Table 2.",Для ясности современные знания о животном происхождении известных коронавирусов обобщены на рисунке ​1 и в таблице 2.
PubMed_8:650,Phylogenetic analysis has provided evidence for interspecies transmission events of HCoVs in the history.,Филогенетический анализ дал доказательства событий межвидовой передачи HCoV в анамнезе.
PubMed_8:651,"When HCoV-OC43 crossed species to infect humans from domestic livestock around 1890, a pandemic of respiratory infection was recorded.","Когда около 1890 года произошла межвидовая передача вируса HCoV-OC43 и люди заразились от домашних животных, была зарегистрирована пандемия респираторной инфекции."
PubMed_8:652,The interspecies transmission history of HCoV-229E is less clear.,История межвидовой передачи HCoV-229E не столь ясна.
PubMed_8:653,Bat alpha-CoVs closely related to HCoV-229E have been found.,"Были обнаружены альфакоронавирусы летучих мышей, близкородственные HCoV-229E."
PubMed_8:654,Between them there is an alpaca alpha-CoV.,Между ними находится альфакоронавирус альпаки.
PubMed_8:655,Several lines of evidence support the transmission of virus from bats to humans directly.,Некоторые данные поддерживают прямую передачу вируса от летучих мышей человеку.
PubMed_8:656,"First, humans but not alpacas might have contact with bats in a shared ecological niche.","Во-первых, именно люди, а не альпаки, могли контактировать с летучими мышами в общей экологической нише."
PubMed_8:657,"Instead, humans have close contact with alpacas.",В то же время люди находятся в тесном контакте с альпаками.
PubMed_8:658,"Second, HCoV-229E-related bat alpha-CoVs are diverse and non-pathogenic in bats, whereas alpaca alpha-CoV caused an outbreak of respiratory disease in infected animals.","Во-вторых, альфакоронавирусы летучих мышей, родственные HCoV-229E, у летучих мышей разнообразны и непатогенны, в то время как альфакоронавирус альпаки вызвал приступ респираторного заболевания у инфицированных животных."
PubMed_8:659,"Finally, alpaca alpha-CoV has not been found in feral animals.","Наконец, альфакоронавирус альпаки не был обнаружен у диких животных."
PubMed_8:660,"Thus, the possibility cannot be excluded that alpacas obtain the HCoV-229E-related alpha-CoV from humans.","Таким образом, нельзя исключать вероятность того, что альпаки получили альфакоронавирус, родственный HCoV-229E, от людей."
PubMed_8:661,"In fact, bats are the direct source of human pathogenic viruses including rabies virus, Ebola virus, Nipah virus and Hendra virus.","На самом деле летучие мыши являются прямым источником патогенных вирусов человека, включая вирус бешенства, вирус Эбола, вирус Нипах и вирус Хендра."
PubMed_8:662,It is therefore not too surprising that bats might transmit HCoV-229E to humans directly.,"Поэтому неудивительно, что летучие мыши могли напрямую передать людям HCoV-229E."
PubMed_8:663,"Alternatively, whereas bat alpha-CoVs serve as the gene pool of HCoV-229E, alpacas and dromedary camels might serve as intermediate hosts that transmit viruses to humans, exactly as in the case of MERS-CoV.","С другой стороны, в то время как альфакоронавирусы летучих мышей могли послужить генным пулом вируса HCoV-229E, альпаки и одногорбые верблюды могли стать промежуточными носителями, которые передают вирусы людям, точно как в случае вируса MERS-CoV."
PubMed_8:664,MERS-CoV serves as an excellent example of interspecies transmission from bats to dromedary camels and from dromedary camels to humans.,MERS-CoV служит прекрасным примером межвидовой передачи от летучих мышей одногорбым верблюдам и от одногорбых верблюдов человеку.
PubMed_8:665,The evolutionary origin of MERS-CoV from bats is known at its initial identification and has also been strengthened by subsequent findings.,Эволюционное происхождение вируса MERS-CoV от летучих мышей известно по его первоначальной идентификации и затем было подтверждено последующими исследованиями.
PubMed_8:666,It is obvious that bats provide a rich pool of virus species for interspecies exchange of genetic fragments and interspecies transmission.,"Очевидно, что летучие мыши дают богатый пул разновидностей вирусов для межвидового обмена генными фрагментами и межвидовой передачи."
PubMed_8:667,"Longevity, densely packed colonies, close social interaction and strong ability to fly are all favourable conditions for bats to be an ideal 'virus spreader'.","Долголетие, густонаселенные колонии, близкое социальное взаимодействие и способность летать делают летучих мышей «идеальными распространителями»."
PubMed_8:668,"On the other hand, MERS-CoV has been introduced to dromedary camels for decades.","С другой стороны, вирус MERS-CoV был внесен одногорбым верблюдам десятилетия тому назад."
PubMed_8:669,It is well adapted to these camels that have turned from an intermediate host to a stable and natural reservoir host.,"Он хорошо адаптировался к этим верблюдам, которые из промежуточного носителя превратились в стабильного и естественного резервуарного носителя."
PubMed_8:670,MERS-CoV causes very mild disease and maintains a relatively low mutation rate in these animals.,У этих животных вирус MERS-CoV вызывает очень легкое заболевание и характеризуется относительно низкой частотой мутаций.
PubMed_8:671,Its sporadic transmission to humans is an accident and humans remain a dead-end host of MERS-CoV as its transmission cannot be sustained.,"Его эпизодическая передача человеку является случайностью, и человек остается тупиковым носителем MERS-CoV, так как его передача не поддерживается."
PubMed_8:672,"In contrast to the role of camels in the transmission of MERS-CoV, the role of pangolins, if there is any, in the transmission of SARS-CoV-2 is different.","В отличие от роли верблюдов в передаче MERS-CoV, роль панголинов, если таковая существует, в передаче вируса SARS-CoV-2 иная."
PubMed_8:673,"Particularly, pangolin beta-CoVs are highly pathogenic in pangolins.","В частности, бетакоронавирусы панголинов высокопатогенны у панголинов."
PubMed_8:674,"They might be a dead-end host for SARS-CoV-2-related beta-CoVs, similar to civets in the case of SARS-CoV.","Они могут быть тупиковыми носителями бетакоронавирусов, родственных SARS-CoV-2, также как циветы в случае SARS-CoV."
PubMed_8:675,Several possibilities for interspecies transmission of SARS-CoV-2 from animals to humans have to be ruled in or ruled out in future studies.,В будущих исследованиях необходимо подтвердить или исключить несколько возможностей межвидовой передачи вируса SARS-CoV-2 от животных человеку.
PubMed_8:676,"First, bats could be the reservoir host of a SARS-CoV-2-related virus almost identical to SARS-CoV-2.","Во-первых, летучие мыши могут быть резервуарным носителем для вируса, родственного SARS-CoV-2, почти идентичного SARS-CoV-2."
PubMed_8:677,Humans might share the ecological niche with bats through butchering or coal mining.,Люди могут делить экологическую нишу с летучими мышами благодаря угледобыче или разделке тушек этих животных.
PubMed_8:678,"Second, pangolins could be one of intermediate amplifying host to which a SARS-CoV-2-related virus had been newly introduced.","Во-вторых, панголины могут быть одним из промежуточных усиливающих носителей, в который родственный SARS-CoV-2 вирус попал недавно."
PubMed_8:679,Humans contract the virus through butchering and consumption of game meat.,Люди заражаются вирусом через разделку туш и употребление в пищу мяса диких животных.
PubMed_8:680,It is possible that many mammals including domestic animals are susceptible to SARS-CoV-2.,"Вполне возможно, что к SARS-CoV-2 восприимчивы многие животные, включая домашних."
PubMed_8:681,A survey of domestic and wild animals for antibodies is warranted.,Обследование домашних и диких животных на антитела оправдано.
PubMed_8:682,"Third, as mentioned above, recombination and adaptation of SARS-CoV-2 might have occurred in a third species that has contact with both bats and pangolins.","В-третьих, как указано выше, рекомбинация и адаптация SARS-CoV-2 могла произойти в третьем виде, который контактировал как с летучими мышами, так и с панголинами."
PubMed_8:683,The search for the animal origins of SARS-CoV-2 is still on.,Поиск животного происхождения SARS-CoV-2 продолжается.
PubMed_8:684,"Apart from different types of the animal hosts, three major factors on the viral side are also important in facilitating CoVs to cross species barriers.","Кроме разных типов животных-носителей, три основных фактора со стороны вирусов также способствовали пересечению межвидовых барьеров."
PubMed_8:685,"First of all, their relatively high mutation rates in RNA replication.","Прежде всего, их относительно высокая скорость мутаций в репликации РНК."
PubMed_8:686,"In comparison to other single-stranded RNA viruses, the estimated mutation rates of CoVs could be regarded as “moderate” to “high” with an average substitution rate being ~10-4 substitution per year per site 2, depending on the phase of CoV adaptation to novel hosts.","По сравнению с другими вирусами с одноцепочной РНК, расчетную частоту мутаций коронавирусов можно считать «умеренно-высокой» со средней частотой замен приблизительно 10–4 замен в год на одном участке 2 в зависимости от фазы адаптации коронавируса к новым хозяевам."
PubMed_8:687,"CoVs have a proof-reading exoribonuclease, deletion of which results in exceedingly high mutability and attenuation or even inviability.","Коронавирусы имеют корректирующую экзорибонуклеазу, удаление которой приводит к чрезвычайно высокой частоте мутирования и ослабления или даже нежизнеспособности."
PubMed_8:688,"Interestingly, the nucleotide analogue Remdesivir is known to suppress CoV replication through inhibition of this exoribonuclease and the RNA-dependent RNA polymerase.","Интересно, что нуклеотидный аналог Ремдесивир подавляет репликацию коронавирусов благодаря ингибированию этой экзорибонуклеазы и РНК-зависимой РНК-полимеразы."
PubMed_8:689,Remdesivir is one of most promising anti-SARS-CoV-2 agents to be tested in clinical trials.,"Ремдесивир — одно из самых многообещающих средств против SARS-CoV-2, которые необходимо проверить в ходе клинических исследований."
PubMed_8:690,"Nevertheless, mutation rates of CoVs are about a million times higher than those of their hosts.","Тем не менее, частота мутаций коронавирусов почти в миллион раз выше, чем их носителей."
PubMed_8:691,"In addition, mutation rate is often high when CoVs are not well adapted to the host.","Кроме того, частота мутации часто может быть еще выше, если коронавирусы недостаточно хорошо адаптированы к носителю."
PubMed_8:692,"Compared to SARS-CoV with a high mutation rate, the mutation rate of SARS-CoV-2 is apparently lower, suggestive of a higher level of adaptation to humans.","По сравнению с SARS-CoV с высокой частотой мутирования, частота мутаций SARS-CoV-2 видимо ниже, что свидетельствует о более высоком уровне адаптации к людям."
PubMed_8:693,"Presumably, it has already been adapted to another host close to humans.","Предположительно этот вирус уже адаптировался к другому носителю, близкому к человеку."
PubMed_8:694,"In addition to SARS-CoV-2, this also applies to MERS-CoV, which is well adapted to dromedary camels.","Кроме SARS-CoV-2, это также относится и к MERS-CoV, хорошо адаптированному к одногорбым верблюдам."
PubMed_8:695,"Theoretically, it is unlikely that genetic drift would render vaccines and antivirals against SARS-CoV-2 ineffective quickly.","Теоретически маловероятно, чтобы вакцины и противовирусные препараты от SARS-CoV-2 быстро утратили эффективность в результате генетического дрейфа."
PubMed_8:696,"Second, the large RNA genome in CoVs exerts extra plasticity in genome modification for mutations and recombination, thereby increasing the probability for interspecies co-evolution, which is advantageous for the emergence of novel CoVs when the conditions become appropriate.","Во-вторых, большой геном РНК в коронавирусах приводит к большей пластичности в геномной модификации в отношении мутаций и рекомбинации, таким образом увеличивая вероятность межвидовой коэволюции, благоприятной для возникновения новых коронавирусов при наличии соответствующих условий."
PubMed_8:697,This is supported by the copious unique open reading frames and protein functions encoded towards the 3′ end of the genome.,"Этому способствуют многочисленные уникальные открытые рамки считывания и функции белков, закодированные в направлении 3′-конца генома."
PubMed_8:698,"Third, CoVs randomly and frequently switch templates during RNA replication through a unique “copy-choice” mechanism.","В-третьих, благодаря уникальному механизму выбора матрицы, коронавирусы случайным образом и часто переключают матрицы во время репликации РНК."
PubMed_8:699,"In a host that serves as the mixing vessel, strand switching occurs frequently during CoV RNA transcription.","Во время транскрипции ДНК коронавируса в носителе, который служит смесительным сосудом, часто происходит переключение нитей."
PubMed_8:700,Highly homologous full-length and subgenomic RNAs could recombine to generate new CoVs.,Высокогомологические полноразмерные и субгеномные РНК могут рекомбинировать и создавать новые коронавирусы.
PubMed_8:701,"Phylogenetic evidence of natural recombination has been found in both HCoV-HKU1 and HCoV-OC43, as well as animal CoVs such as bat SL-CoV and batCoV-HKU9.","Филогенетические свидетельства естественной рекомбинации были обнаружены как в HCoV-HKU1 и HCoV-OC43, так и в животных коронавирусах, таких как SL-CoV и batCoV-HKU9 летучих мышей."
PubMed_8:702,Virus-host interaction in relation to transmission,Взаимодействие вирус—носитель в отношении передачи
PubMed_8:703,"Besides three viral factors stated above, viral interaction with host receptor is another key factor influential on interspecies transmission.","В дополнение к трем указанным выше вирусным факторам еще одним ключевым фактором, важным для межвидовой передачи, является взаимодействие вируса с рецептором носителя."
PubMed_8:704,"Herein, recombination of SARS-CoV is taken as a typical example, which also showed evidence of positive selection during interspecies transmission events.","В данной статье в качестве типичного примера, который также демонстрирует доказательства позитивного отбора при событиях межвидовой передачи, приводится рекомбинация SARS-CoV."
PubMed_8:705,"Based on the comparative analysis between isolates of human and civet SARS-CoVs, SARS-CoV is thought to undergo rapid adaptation in different hosts, particularly with mutations at the RBD of the S protein.","На основе сравнительного анализа между штаммами SARS-CoV человека и циветы считается, что SARS-CoV проходит быструю адаптацию в разных носителях, особенно что касается мутаций на РСД белка S."
