#item+conceptum+codicem,#item+rem+i_fr+i_fra+is_latn,#item+rem+i_en+i_eng+is_latn
CMU_1:1,depuis combien ressentez-vous ces symptômes ?,about how long have these symptoms been going on?
PubMed_9:806,"Les pourcentages de patients tous âges confondus présentant des problèmes de santé sous-jacents n’ayant pas été hospitalisés, ayant été hospitalisés sans admission en USI et ayant été hospitalisés avec admission en USI ont été calculés.","The percentages of patients of all ages with underlying health conditions who were not hospitalized, hospitalized without ICU admission, and hospitalized with ICU admission were calculated."
PubMed_9:807,"Les pourcentages d’hospitalisation avec ou sans admission en USI ont été estimés pour les individus de 19 ans ou plus, avec et sans problèmes de santé sous-jacents.",Percentages of hospitalizations with and without ICU admission were estimated for persons aged ≥19 years with and without underlying health conditions.
PubMed_9:808,Cette partie de l’analyse a été restreinte aux individus de 19 ans ou plus en raison du très petit nombre de cas d’enfants présentant des problèmes de santé sous-jacents (N = 32).,This part of the analysis was limited to persons aged ≥19 years because of the small sample size of cases in children with reported underlying health conditions (N = 32).
PubMed_9:809,"Pour pallier le manque de données de ces rapports préliminaires, des intervalles ont été estimés avec une limite inférieure incluant les cas associés à un statut connu et inconnu d’hospitalisation, avec et sans admission en USI, comme dénominateur, et une limite supérieure incluant uniquement les cas dont le résultat était connu comme dénominateur.","To account for missing data among these preliminary reports, ranges were estimated with a lower bound including cases with both known and unknown status for hospitalization with and without ICU admission as the denominator and an upper bound using only cases with known outcome status as the denominator."
PubMed_9:810,"En raison de la petite taille d’échantillon et du manque de données concernant les problèmes de santé sous-jacents des patients décédés de la COVID-19, les taux de létalité pour les individus avec et sans problèmes de santé sous-jacents n’ont pas été estimés.","Because of small sample size and missing data on underlying health conditions among COVID-19 patients who died, case-fatality rates for persons with and without underlying conditions were not estimated."
PubMed_9:811,"Au 28 mars 2020, 122 653 cas de COVID-19 confirmés en laboratoire (Figure) et 2 112 décès avaient été rapportés aux CDC.","As of March 28, 2020, a total of 122,653 laboratory-confirmed COVID-19 cases (Figure) and 2,112 deaths were reported to CDC."
PubMed_9:812,"Des formulaires de rapport avaient été soumis aux CDC pour 74 439 cas (60,7 %).","Case report forms were submitted to CDC for 74,439 (60.7%) cases."
PubMed_9:813,"Des données relatives à la présence ou à l’absence de problèmes de santé sous-jacents et d’autres facteurs de risque connus pour entraîner des complications graves suite à une infection respiratoire (c.-à-d., tabagisme et grossesse) étaient disponibles pour 7 162 patients (5,8 %) (Tableau 1).","Data on presence or absence of underlying health conditions and other recognized risk factors for severe outcomes from respiratory infections (i.e., smoking and pregnancy) were available for 7,162 (5.8%) patients (Table 1)."
PubMed_9:814,"Environ un tiers de ces patients (2 692, 37,6 %) présentaient au moins un problème de santé sous-jacent ou un facteur de risque.","Approximately one third of these patients (2,692, 37.6%), had at least one underlying condition or risk factor."
PubMed_9:815,"Le diabète sucré (784, 10,9 %), une maladie pulmonaire chronique (656, 9,2 %) et une maladie cardiovasculaire (647, 9,0 %) étaient les problèmes de santé les plus fréquemment rapportés sur l’ensemble des cas.","Diabetes mellitus (784, 10.9%), chronic lung disease (656, 9.2%), and cardiovascular disease (647, 9.0%) were the most frequently reported conditions among all cases."
PubMed_9:816,"Sur 457 admissions en USI et 1 037 hospitalisations hors USI, 358 (78 %) et 732 (71 %), respectivement, concernaient des individus avec un ou plusieurs problèmes de santé sous-jacents rapportés.","Among 457 ICU admissions and 1,037 non-ICU hospitalizations, 358 (78%) and 732 (71%), respectively occurred among persons with one or more reported underlying health condition."
PubMed_9:817,"A contrario, 1 388 patients atteints de la COVID-19 sur 5 143 (27 %) n’ayant pas été hospitalisés présentaient au moins un problème de santé sous-jacent.","In contrast, 1,388 of 5,143 (27%) COVID-19 patients who were not hospitalized were reported to have at least one underlying health condition."
PubMed_9:818,"Parmi les patients de 19 ans ou plus, le pourcentage d’hospitalisations hors USI était supérieur pour ceux présentant des problèmes de santé sous-jacents (27,3 %–29,8 %) que pour ceux n’en présentant pas (7,2 %–7,8 %) ; le pourcentage de cas ayant nécessité une admission en USI était également supérieur pour ceux présentant des problèmes de santé sous-jacents (13,3 %–14,5 %) que pour ceux n’en présentant pas (2,2 %–2,4 %) (Tableau 2).CI","Among patients aged ≥19 years, the percentage of non-ICU hospitalizations was higher among those with underlying health conditions (27.3%–29.8%) than among those without underlying health conditions (7.2%–7.8%); the percentage of cases that resulted in an ICU admission was also higher for those with underlying health conditions (13.3%–14.5%) than those without these conditions (2.2%–2.4%) (Table 2)."
PubMed_9:819,Seul un petit nombre de patients atteints de la COVID-19 de moins de 19 ans ont nécessité une hospitalisation (48) ou une admission en USI (huit).,Small numbers of COVID-19 patients aged &lt; 19 years were reported to be hospitalized (48) or admitted to an ICU (eight).
PubMed_9:820,"A contrario, 335 patients de moins de 19 ans n’ont pas nécessité d’hospitalisation et aucune donnée relative à l’hospitalisation n’était disponible pour 1 342 autres.","In contrast, 335 patients aged &lt; 19 years were not hospitalized and 1,342 had missing data on hospitalization."
PubMed_9:821,"Sur tous les patients atteints de la COVID-19 pour lesquels des informations complètes sur les problèmes de santé sous-jacents ou facteurs de risque étaient disponibles, 184 sont décédés (tous étaient âgés de 19 ans ou plus) ; 173 décès (94 %) concernaient des patients présentant au moins un problème de santé sous-jacent.","Among all COVID-19 patients with complete information on underlying conditions or risk factors, 184 deaths occurred (all among patients aged ≥19 years); 173 deaths (94%) were reported among patients with at least one underlying condition."
PubMed_9:822,"Sur les 122 653 cas de COVID-19 aux États-Unis rapportés aux CDC au 28 mars 2020, des données sur les problèmes de santé sous-jacents ou facteurs de risque potentiels étaient disponibles pour 7 162 patients (5,8 %) ; sur ces cas, le pourcentage de patients ayant nécessité une hospitalisation et une admission en USI était plus élevé chez ceux présentant des problèmes de santé sous-jacents que chez ceux n’en présentant pas.","Among 122,653 U.S. COVID-19 cases reported to CDC as of March 28, 2020, 7,162 (5.8%) patients had data available pertaining to underlying health conditions or potential risk factors; among these patients, higher percentages of patients with underlying conditions were admitted to the hospital and to an ICU than patients without reported underlying conditions."
PubMed_9:823,"Ces résultats sont cohérents avec les constatations réalisées par la Chine et l’Italie, qui suggèrent que les patients présentant des problèmes de santé sous-jacents et des facteurs de risque, notamment, mais sans s’y limiter, le diabète sucré, l’hypertension, une MPOC, une maladie coronarienne, une maladie cérébrovasculaire, une maladie rénale chronique et le tabagisme, seraient plus susceptibles de développer une forme grave de la COVID-19 et d’en décéder.","These results are consistent with findings from China and Italy, which suggest that patients with underlying health conditions and risk factors, including, but not limited to, diabetes mellitus, hypertension, COPD, coronary artery disease, cerebrovascular disease, chronic renal disease, and smoking, might be at higher risk for severe disease or death from COVID-19."
PubMed_9:824,"Cette analyse a été limitée par la petite taille de l’échantillon et par le manque de données induit par la charge de travail importante qui pesait sur les services de santé en raison de l’augmentation rapide du nombre de cas, et ces résultats pourront évoluer au fur et à mesure que de nouvelles données seront disponibles.","This analysis was limited by small numbers and missing data because of the burden placed on reporting health departments with rapidly rising case counts, and these findings might change as additional data become available."
PubMed_9:825,Il n’a pas encore été établi si la sévérité ou le niveau de contrôle des problèmes de santé sous-jacents affectent le risque de complications graves associées à la COVID-19.,It is not yet known whether the severity or level of control of underlying health conditions affects the risk for severe disease associated with COVID-19.
PubMed_9:826,"Nombre de ces problèmes de santé sous-jacents sont communs aux États-Unis : d’après les données auto-déclarées de 2018, la prévalence des diabètes diagnostiqués chez des adultes était de 10,1 %, et la prévalence selon l’âge de l’ensemble des maladies cardiaques (hors hypertension sans autre maladie cardiaque) était de 10,6 % en 2017.","Many of these underlying health conditions are common in the United States: based on self-reported 2018 data, the prevalence of diagnosed diabetes among U.S. adults was 10.1%, and the U.S. age-adjusted prevalence of all types of heart disease (excluding hypertension without other heart disease) was 10.6% in 2017."
PubMed_9:827,"La prévalence ajustée selon l’âge de MPOC chez les adultes aux États-Unis était de 5,9 % et, en 2018, le pays estimait la prévalence d’asthme actuel chez des individus de tout âge à 7,9 %.","The age-adjusted prevalence of COPD among U.S. adults is 5.9%, and in 2018, the U.S. estimated prevalence of current asthma among persons of all ages was 7.9%."
PubMed_9:828,"Les CDC continuent à développer et à mettre à jour des ressources à destination des personnes présentant des problèmes de santé sous-jacents, afin de leur permettre de réduire le risque de contracter la COVID-19.",CDC continues to develop and update resources for persons with underlying health conditions to reduce the risk of acquiring COVID-19.
PubMed_9:829,La prévalence supérieure estimée de ces problèmes de santé pour ce premier groupe de patients américains atteints de la COVID-19 et un risque potentiellement accru de développer une forme grave de la COVID-19 en raison de la présence de problèmes de santé sous-jacents soulignent l’importance de prévenir la COVID-19 chez les individus présentant de telles conditions.,The estimated higher prevalence of these conditions among those in this early group of U.S. COVID-19 patients and the potentially higher risk for more severe disease from COVID-19 associated with the presence of underlying conditions highlight the importance of COVID-19 prevention in persons with underlying conditions.
PubMed_9:830,Les conclusions de ce rapport sont soumises à six limitations au moins.,The findings in this report are subject to at least six limitations.
PubMed_9:831,"Premièrement, il s’agit de données préliminaires, et leur analyse a été limitée par le manque de données induit par la charge de travail importante qui pesait sur les services de santé en raison de l’augmentation rapide du nombre de cas ainsi que par le retard dans la collecte de données nécessitant un examen des dossiers médicaux ; ces conclusions pourront évoluer au fur et à mesure que de nouvelles données seront disponibles.","First, these data are preliminary, and the analysis was limited by missing data related to the health department reporting burden associated with rapidly rising case counts and delays in completion of information requiring medical chart review; these findings might change as additional data become available."
PubMed_9:832,"Sur 122 653 cas rapportés aux CDC, seulement 7 162 (5,8 %) étaient associés à des données sur les problèmes de santé sous-jacents.","Information on underlying conditions was only available for 7,162 (5.8%) of 122,653 cases reported to CDC."
PubMed_9:833,On ne peut présumer que les cas pour lesquels des informations sont manquantes sont similaires à ceux pour lesquels des données relatives à l’hospitalisation ou aux problèmes de santé sous-jacents sont disponibles.,It cannot be assumed that those with missing information are similar to those with data on either hospitalizations or underlying health conditions.
PubMed_9:834,"Deuxièmement, ces données sont soumises à un biais concernant la constatation des résultats en raison du délai de suivi réduit.","Second, these data are subject to bias in outcome ascertainment because of short follow-up time."
PubMed_9:835,"Certains résultats peuvent être sous-estimés, et aucun résultat sur le long terme ne peut être évalué dans le cadre de cette analyse.","Some outcomes might be underestimated, and long-term outcomes cannot be assessed in this analysis."
PubMed_9:836,"Troisièmement, étant donné la disponibilité limitée des tests dans de nombreuses juridictions pendant cette période, cette analyse manque probablement d’objectivité quant aux cas les plus graves, et les résultats pourraient évoluer au fur et à mesure que davantage de tests seront réalisés.","Third, because of the limited availability of testing in many jurisdictions during this period, this analysis is likely biased toward more severe cases, and findings might change as testing becomes more widespread."
PubMed_9:837,"Quatrièmement, compte tenu de la nature descriptive de ces données, les taux d’attaque chez les individus avec et sans problèmes de santé sous-jacents n’ont pu être comparés, et il n’a donc pas été possible d’estimer la différence de risque de développer une forme grave de la COVID-19 entre ces groupes.","Fourth, because of the descriptive nature of these data, attack rates among persons with and without underlying health conditions could not be compared, and thus the risk difference of severe disease with COVID-19 between these groups could not be estimated."
PubMed_9:838,"Cinquièmement, aucune conclusion ne peut être tirée concernant les problèmes de santé sous-jacents qui n’ont pas été inclus dans le formulaire de rapport de cas ou d’autres problèmes de santé classés dans une catégorie générique.","Fifth, no conclusions could be drawn about underlying conditions that were not included in the case report form or about different conditions that were reported in a single, umbrella category."
PubMed_9:839,"Par exemple, l’asthme et la MPOC ont été inclus dans la catégorie des maladies pulmonaires chroniques.","For example, asthma and COPD were included in a chronic lung disease category."
PubMed_9:840,"Enfin, pour certains problèmes de santé sous-jacents et facteurs de risque, notamment les troubles neurologiques, une maladie hépatique chronique, le tabagisme actif et la grossesse, peu de cas graves ont été rapportés ; il n’est donc pas possible de tirer des conclusions quant au risque de contracter une forme grave de la COVID-19 chez les individus appartenant à ces groupes.","Finally, for some underlying health conditions and risk factors, including neurologic disorders, chronic liver disease, being a current smoker, and pregnancy, few severe outcomes were reported; therefore, conclusions cannot be drawn about the risk for severe COVID-19 among persons in these groups."
PubMed_9:841,"Aux États-Unis, les individus souffrant de problèmes de santé sous-jacents semblent présenter un risque accru de développer une forme grave de la COVID-19, ce qui est cohérent avec les conclusions tirées par d’autres pays.","Persons in the United States with underlying health conditions appear to be at higher risk for more severe COVID-19, consistent with findings from other countries."
PubMed_9:842,"Les personnes souffrant de problèmes de santé sous-jacents qui présenteraient des symptômes de la COVID-19, notamment de la fièvre, une toux ou un essoufflement, doivent immédiatement prendre contact avec leur médecin.","Persons with underlying health conditions who have symptoms of COVID-19, including fever, cough, or shortness of breath, should immediately contact their health care provider."
PubMed_9:843,"Ces personnes doivent prendre des mesures afin de se protéger de la COVID-19, telles que se laver régulièrement les mains, nettoyer et désinfecter les surfaces fréquemment touchées, et observer une distanciation sociale, notamment en restant confiné, en évitant les foules, les rassemblements et les voyages, et en évitant tout contact avec des malades.","These persons should take steps to protect themselves from COVID-19, through washing their hands; cleaning and disinfecting high-touch surfaces; and social distancing, including staying at home, avoiding crowds, gatherings, and travel, and avoiding contact with persons who are ill."
PubMed_9:844,"Il est recommandé aux personnes présentant des problèmes de santé sous-jacents de prévoir un stock de médicaments d’au moins 30 jours ainsi qu’un stock de nourriture et d’articles de première nécessité de 2 semaines, et de connaître les symptômes de la COVID-19.","Maintaining at least a 30-day supply of medication, a 2-week supply of food and other necessities, and knowledge of COVID-19 symptoms are recommended for those with underlying health conditions."
PubMed_9:845,Chacun doit prendre les mesures qui s’imposent pour se protéger et protéger les autres de la COVID-19.,All persons should take steps to protect themselves from COVID-19 and to protect others.
PubMed_9:846,"Tout individu malade est tenu de ne pas quitter son domicile, sauf pour recevoir des soins médicaux, de ne pas aller travailler et d’observer une certaine distance avec autrui.","All persons who are ill should stay home, except to get medical care; should not go to work; and should stay away from others."
PubMed_9:847,Cela est particulièrement important pour ceux travaillant au contact de personnes présentant des problèmes de santé sous-jacents ou un risque élevé de développer une forme grave de la COVID-19.,This is especially important for those who work with persons with underlying conditions or who otherwise are at high risk for severe outcomes from COVID-19.
PubMed_9:848,"Les stratégies de prévention communautaire, visant à ralentir la propagation de la COVID-19, sont importantes pour protéger l’ensemble de la population de la COVID-19, et notamment les personnes présentant des problèmes de santé sous-jacents ou un risque accru de complications graves associées à la COVID-19 (https://www.cdc.gov/coronavirus/2019-ncov/downloads/community-mitigation-strategy.pdf).","Community mitigation strategies, which aim to slow the spread of COVID-19, are important to protect all persons from COVID-19, especially persons with underlying health conditions and other persons at risk for severe COVID-19–associated disease (https://www.cdc.gov/coronavirus/2019-ncov/downloads/community-mitigation-strategy.pdf)."
PubMed_9:849,Que sait-on à ce sujet ?,What is already known about this topic?
PubMed_9:850,"Des rapports provenant de Chine et d’Italie suggèrent que les facteurs de risque de contracter une forme grave de la COVID-19 incluent des problèmes de santé sous-jacents, mais aucune donnée relative aux problèmes de santé sous-jacents des patients américains atteints de la COVID-19 n’a encore été rapportée.","Published reports from China and Italy suggest that risk factors for severe COVID-19 disease include underlying health conditions, but data describing underlying health conditions among U.S. COVID-19 patients have not yet been reported."
PubMed_9:851,Que nous apprend ce rapport ?,What is added by this report?
PubMed_9:852,"D’après les données préliminaires des États-Unis, les individus souffrant de problèmes de santé sous-jacents, tels qu’un diabète sucré, une maladie pulmonaire chronique et une maladie cardiovasculaire, semblent présenter un risque accru de développer une forme grave de la COVID-19.","Based on preliminary U.S. data, persons with underlying health conditions such as diabetes mellitus, chronic lung disease, and cardiovascular disease, appear to be at higher risk for severe COVID-19–associated disease than persons without these conditions."
PubMed_9:853,Quelles sont les implications pour la pratique de santé publique ?,What are the implications for public health practice?
PubMed_9:854,"Des stratégies visant à protéger tous les individus et en particulier ceux présentant des problèmes de santé sous-jacents, notamment une distanciation sociale et un lavage régulier des mains, doivent être mises en œuvre par l’ensemble des communautés et des populations, afin de ralentir la propagation de la COVID-19.","Strategies to protect all persons and especially those with underlying health conditions, including social distancing and handwashing, should be implemented by all communities and all persons to help slow the spread of COVID-19."
PubMed_10:855,Apparition d’un nouveau coronavirus (COVID-19) : protocole d’extension de la surveillance utilisé par le Centre de recherche et de surveillance du Royal College of General Practitioners et Public Health England,Emergence of a Novel Coronavirus (COVID-19): Protocol for Extending Surveillance Used by the Royal College of General Practitioners Research and Surveillance Centre and Public Health England
PubMed_10:856,"Le Centre de recherche et de surveillance (Research and Surveillance Centre, RSC) du Royal College of General Practitioners (RCGP) et Public Health England (PHE) collaborent avec succès pour surveiller la grippe et d’autres maladies infectieuses depuis plus de 50 ans, notamment lors de trois pandémies passées.","The Royal College of General Practitioners (RCGP) Research and Surveillance Centre (RSC) and Public Health England (PHE) have successfully worked together on the surveillance of influenza and other infectious diseases for over 50 years, including three previous pandemics."
PubMed_10:857,"Avec l’apparition de l’épidémie internationale de l’infection au coronavirus (COVID-19), une approche nationale de confinement a été établie au Royaume-Uni afin de tester les personnes qui pourraient avoir été exposées au COVID-19.","With the emergence of the international outbreak of the coronavirus infection (COVID-19), a UK national approach to containment has been established to test people suspected of exposure to COVID-19."
PubMed_10:858,"Dans le même temps et en parallèle, la surveillance du RSC du RCGP a été étendue pour contrôler la distribution temporelle et géographique de l’infection au COVID-19 dans la communauté ainsi que pour évaluer l’efficacité de la stratégie de confinement.","At the same time and separately, the RCGP RSC’s surveillance has been extended to monitor the temporal and geographical distribution of COVID-19 infection in the community as well as assess the effectiveness of the containment strategy."
PubMed_10:859,"Les objectifs de cette étude sont de surveiller le COVID-19 chez les populations asymptomatiques et les cas ambulatoires d’infections respiratoires, de déterminer le taux et le schéma de propagation du COVID-19, et d’évaluer l’efficacité de la politique de confinement.","The aims of this study are to surveil COVID-19 in both asymptomatic populations and ambulatory cases with respiratory infections, ascertain both the rate and pattern of COVID-19 spread, and assess the effectiveness of the containment policy."
PubMed_10:860,"Le RSC du RCGP, un réseau de plus de 500 cabinets de médecine générale en Angleterre, extrait de façon hebdomadaire des données pseudonymisées.","The RCGP RSC, a network of over 500 general practices in England, extract pseudonymized data weekly."
PubMed_10:861,Cette surveillance étendue comprend cinq éléments : (1) Enregistrement dans des dossiers médicaux de toute personne soupçonnée d’avoir été ou ayant été exposée au COVID-19.,This extended surveillance comprises of five components: (1) Recording in medical records of anyone suspected to have or who has been exposed to COVID-19.
PubMed_10:862,"Une semaine après la demande, les fournisseurs de dossiers médicaux informatisés ont créé de nouveaux codes à cette fin.",Computerized medical records suppliers have within a week of request created new codes to support this.
PubMed_10:863,(2) Extension de la surveillance virologique actuelle et test des personnes présentant un syndrome grippal ou des infections des voies respiratoires inférieures (IVRI) ; sous réserve que les personnes soupçonnées d’avoir été ou ayant été exposées au COVID-19 soient orientées vers le parcours de confinement national et n’effectuent pas de consultation dans les établissements de soins primaires.,(2) Extension of current virological surveillance and testing people with influenza-like illness or lower respiratory tract infections (LRTI)—with the caveat that people suspected to have or who have been exposed to COVID-19 should be referred to the national containment pathway and not seen in primary care.
PubMed_10:864,(3) Prélèvement d’échantillons sérologiques dans toutes les tranches d’âge.,(3) Serology sample collection across all age groups.
PubMed_10:865,Il s’agira d’un échantillon de sang supplémentaire prélevé chez les personnes qui se rendent dans leur cabinet de médecine générale pour une prise de sang programmée.,This will be an extra blood sample taken from people who are attending their general practice for a scheduled blood test.
PubMed_10:866,Les 100 cabinets de médecine générale qui mènent actuellement la surveillance virologique annuelle de la grippe seront impliqués dans la surveillance virologique et sérologique étendue.,The 100 general practices currently undertaking annual influenza virology surveillance will be involved in the extended virological and serological surveillance.
PubMed_10:867,(4) Prélèvement d’échantillons de sérum de patients convalescents.,(4) Collecting convalescent serum samples.
PubMed_10:868,Nous avons la possibilité d’intensifier l’extraction de données à deux fois par semaine si nécessaire.,We have the opportunity to escalate the data extraction to twice weekly if needed.
PubMed_10:869,Les écouvillons et les sérums seront analysés dans les laboratoires de référence de PHE.,Swabs and sera will be analyzed in PHE reference laboratories.
PubMed_10:870,Les fournisseurs du système clinique de médecine générale ont introduit un nouvel ensemble de codes cliniques d’urgence afin de soutenir la surveillance du COVID-19.,General practice clinical system providers have introduced an emergency new set of clinical codes to support COVID-19 surveillance.
PubMed_10:871,"En outre, les cabinets participant à la surveillance virologique actuelle prélèvent à présent des échantillons destinés à la surveillance du COVID-19 chez les patients à faible risque présentant des IVRI.","Additionally, practices participating in current virology surveillance are now taking samples for COVID-19 surveillance from low-risk patients presenting with LRTIs."
PubMed_10:872,"Au cours des 2 premières semaines de mise en place de cette surveillance, nous avons identifié 3 cas : 1 via le nouveau système de codage, les 2 autres grâce à l’échantillonnage virologique étendu.","Within the first 2 weeks of setup of this surveillance, we have identified 3 cases: 1 through the new coding system, the other 2 through the extended virology sampling."
PubMed_10:873,Nous avons rapidement converti le système national établi de surveillance de la grippe du RSC du RCGP en un système apte à tester l’efficacité de la politique de confinement du COVID-19.,We have rapidly converted the established national RCGP RSC influenza surveillance system into one that can test the effectiveness of the COVID-19 containment policy.
PubMed_10:874,La surveillance étendue a déjà constaté l’utilité des nouveaux codes avec 3 cas signalés.,The extended surveillance has already seen the use of new codes with 3 cases reported.
PubMed_10:875,Le partage rapide de ce protocole devrait permettre la critique scientifique et l’apprentissage commun.,Rapid sharing of this protocol should enable scientific critique and shared learning.
PubMed_10:876,"Le Centre de recherche et de surveillance (Research and Surveillance Centre, RSC) du Royal College of General Practitioners (RCGP) est un réseau de cabinets de médecine générale (MG) doté d’une population représentative à l’échelle nationale qui fournit des données pseudonymisées pour la surveillance hebdomadaire des maladies infectieuses.",The Royal College of General Practitioners (RCGP) Research and Surveillance Centre (RSC) is a network of general practices (GPs) with a nationally representative population that provides pseudonymized data for weekly surveillance of infectious diseases.
PubMed_10:877,"Le programme de surveillance des maladies est mandaté par Public Health England (PHE) et couvre 37 maladies infectieuses, dont la grippe.","The disease surveillance program is commissioned by Public Health England (PHE) and covers 37 infectious diseases, including influenza."
PubMed_10:878,Le RSC du RCGP et PHE collaborent depuis plus de 50 ans pour la surveillance de la grippe et des maladies respiratoires et se livrent actuellement à leur 53e saison de surveillance et d’analyse.,The RCGP RSC and PHE have an established collaboration of over 50 years in influenza and respiratory disease surveillance and are now in their 53rd season of surveillance and analysis.
PubMed_10:879,"Le RSC du RCGP extrait des données pseudonymisées d’un échantillon représentatif à l’échelle nationale de plus de 500 cabinets de MG urbains et ruraux chaque semaine, couvrant une population de plus de 4 millions de personnes.",The RCGP RSC extracts pseudonymized data from a nationally representative sample of over 500 urban and nonurban GPs each week covering a population of over 4 million.
PubMed_10:880,"Les données issues de ces cabinets sont signalées en ligne dans un rapport hebdomadaire, qui comprend la surveillance des taux hebdomadaires de syndrome grippal (SG) et d’autres maladies respiratoires en Angleterre.","Data from these practices are reported online in a weekly return, which includes monitoring weekly rates of influenza-like illness (ILI) and other communicable and respiratory diseases in England."
PubMed_10:881,Nous publions également un rapport annuel.,We also produce an annual report.
PubMed_10:882,"L’ensemble de données du RSC du RCGP comprend toutes les données codées et tous les produits prescrits, notamment l’exposition au vaccin.",The RCGP RSC data set includes all coded data and all prescribed items including vaccine exposure.
PubMed_10:883,"Le RSC du RCGP mène une surveillance virologique lors de chaque saison grippale, avec 100 cabinets de MG participant pendant la saison 2019-2020 (Figure 1).","The RCGP RSC conducts virology surveillance each influenza season, with 100 GPs participating in the 2019-2020 season (Figure 1)."
PubMed_10:884,Ces cabinets d’échantillonnage virologique sont également recrutés pour être représentatifs à l’échelle nationale (Figure 1).,These virology sampling practices are also recruited to be nationally representative (Figure 1).
PubMed_10:885,Les cabinets de MG prélèvent des écouvillons nasopharyngés chez les personnes qui présentent une maladie respiratoire aiguë dans les 7 jours suivant le début des symptômes.,GPs take nasopharyngeal swabs from persons showing acute respiratory illness within 7 days of the onset of symptoms.
PubMed_10:886,Des écouvillons nasopharyngés sont prélevés chez les enfants de moins de 5 ans présentant des symptômes de bronchite aiguë ou de bronchiolite.,Nasopharyngeal swabs are taken from children younger than 5 years showing symptoms of acute bronchitis or bronchiolitis.
PubMed_10:887,"En outre, des échantillons nasopharyngés sont prélevés chez toute personne âgée de 5 ans ou plus qui présente une apparition aigüe de SG et de virus respiratoire syncytial.","Additionally, nasopharyngeal samples are taken from anyone 5 years and older showing acute onset of ILI and respiratory synctial virus."
PubMed_10:888,"Les écouvillons sont testés dans l’Unité des virus respiratoires de PHE pour la grippe afin de surveiller les taux de positivité et les souches circulantes, ainsi que pour mesurer l’efficacité du vaccin.","Swabs are tested at the PHE Respiratory Virus Unit for influenza to monitor positivity rates and circulating strains, as well as for measuring vaccine effectiveness."
PubMed_10:889,Le RSC du RCGP a mené avec succès un projet pilote de recueil d’échantillons sérologiques chez des adultes et de couplage de ces échantillons aux dossiers médicaux de patients pendant la saison grippale 2018-2019.,The RCGP RSC successfully conducted a pilot collecting serological samples from adults and linking them to a patient’s medical records during the 2018-2019 influenza season.
PubMed_10:890,Ce projet pilote a été mené en collaboration avec l’Unité séro-épidémiologique de PHE et les échantillons obtenus ont été ajoutés aux échantillons de sang restants envoyés à PHE par les laboratoires du National Health Service (NHS).,This pilot was in collaboration with the PHE Seroepidemiology Unit and added to the residual blood samples submitted to PHE by National Health Service (NHS) laboratories.
PubMed_10:891,"La sérologie peut fournir des informations importante sur l’immunité générale de la population, et les réseaux sentinelles peuvent fournir un mécanisme de collecte systématique de données capable de les coupler à des dossiers et résultats médicaux.","Serology can provide important information about background population immunity, and sentinel networks can provide a mechanism for systematic data collection and linkage to medical records and health outcomes."
PubMed_10:892,Le projet pilote de sérologie a démontré la capacité du réseau à recueillir des échantillons sérologiques chez des adultes.,The serology pilot has demonstrated the ability of the network to collect serology samples in adults.
PubMed_10:893,"Avec l’épidémie de COVID-19, PHE et le RSC du RCGP ont adapté la surveillance de la grippe existante pour contrôler la propagation du COVID-19 dans la communauté, et ce protocole fixe les bases de cette collaboration.","With the COVID-19 outbreak, PHE and RCGP RSC have adapted existing influenza surveillance to monitor the spread of COVID-19 in the community, and this protocol sets out the basis for that collaboration."
PubMed_10:894,"La principale stratégie nationale face à l’infection au COVID-19 est le confinement, en prenant en charge les patients à risque élevé grâce au système d'aiguillage téléphonique NHS111 et aux équipes de protection de la santé de PHE, mais la surveillance du RSC du RCGP est entièrement indépendante.","The primary national strategy for COVID-19 infection is containment, with patients who are at high risk managed via the telephone help system NHS111 and the PHE health protection teams, but the RCGP RSC surveillance is entirely separate."
PubMed_10:895,"Le RSC du RCGP, par l’extension de son travail établi, fournira une surveillance virologique et sérologique afin de contrôler la distribution temporelle et géographique de l’infection au COVID-19 dans la communauté, et pour évaluer l’efficacité de la stratégie de confinement.","The RCGP RSC, by extending its established work, will provide virological and serological surveillance to monitor the temporal and geographical distribution of COVID-19 infection in the community, and assess the effectiveness of the containment strategy."
PubMed_10:896,Nous ne travaillerons pas de façon isolée dans le cadre de cette recherche.,We would not be working in isolation on this research.
PubMed_10:897,"Nous partagerons le protocole avec nos collègues du Royaume-Uni et le consortium I-MOVE, qui a récemment obtenu le financement Horizon 2020 de l’UE de la catégorie « Faire progresser les connaissances pour la réponse clinique et de santé publique face à l’épidémie du nouveau coronavirus ».",We will share the protocol with UK colleagues and the I-MOVE consortium who have recently obtained EU Horizon 2020 funding from the stream “Advancing knowledge for the clinical and public health response to the novel coronavirus epidemic”.
PubMed_10:898,Cette collaboration devrait permettre une efficacité accrue dans la gestion du projet par rapport à celle obtenue si les pays agissaient seuls.,It is anticipated that great efficiencies in project management will result through this collaboration than that obtained from countries acting alone.
PubMed_10:899,"L’objectif de cette étude est d’identifier s’il existe une transmission communautaire non détectée du COVID-19, de déterminer la sensibilité de la population et de surveiller la distribution temporelle et géographique de l’infection au COVID-19.","The aim of this study is to identify whether there is undetected community transmission of COVID-19, estimate population susceptibility, and monitor the temporal and geographical distribution of COVID-19 infection in the community."
PubMed_10:900,Les objectifs de cette étude sont les suivants :,The objectives of this study are as follows:
